,cate_0,cate_1,cate_2,cate_3,cate_4,cate_5,cate_6,cate_7,cate_8,cate_9
uid_0,202,471,0,425,325,3263,157,1,0,156
uid_1,138,216,58,9,186,918,3314,98,6,57
uid_2,277,1568,185,24,1744,83,218,423,0,478
uid_3,525,2233,0,273,35,57,1073,73,6,725
uid_4,399,629,0,1142,2110,319,242,54,10,95
uid_5,329,4,809,6,2149,76,1524,13,1,89
uid_6,291,124,47,290,125,552,696,41,0,2834
uid_7,96,563,25,76,245,5,3436,379,0,175
uid_8,273,547,346,291,751,1163,1458,126,8,37
uid_9,0,1502,18,858,426,16,1107,9,140,924
uid_10,745,249,0,177,1519,797,1480,0,0,33
uid_11,536,754,638,192,664,161,1361,220,0,474
uid_12,1058,1342,1256,341,24,80,338,517,1,43
uid_13,339,1119,95,1740,543,558,550,10,0,46
uid_14,70,1320,516,15,1254,4,497,975,0,349
uid_15,1520,258,0,85,412,1261,853,1,2,608
uid_16,209,1074,229,1432,0,1122,810,66,0,58
uid_17,10,2086,34,188,1378,220,255,87,4,738
uid_18,123,192,59,2161,103,228,434,18,1,1681
uid_19,476,13,87,736,61,333,2672,474,0,148
